#KEGG ID	S3Fallen.S1.R1.R1	S3Fallen.S1.R1.R2
K01696	585	624
K01814	632	647
K02777	259	265
K03216	437	438
K03404	28	51
K03856	13	5
K04769	27	37
K06213	732	800
K07460	572	573
K07491	463	458
K09457	51	69
K09703	8	13
K19286	8	16
K02193	247	245
K02194	248	229
K03660	7	7
K06153	857	866
K07051	52	42
K07341	58	55
K08352	0	1
K00008	37	49
K00074	532	562
K00278	380	366
K00389	290	291
K00694	95	93
K00938	146	148
K01187	750	782
K01214	102	98
K01236	89	77
K01239	39	34
K01256	465	448
K01322	363	362
K01485	235	231
K01496	183	199
K01524	1114	1102
K01576	147	122
K01589	677	690
K01597	3	17
K01684	215	206
K01686	248	240
K01724	409	386
K01799	52	67
K02189	35	62
K02826	28	34
K02827	14	26
K03177	500	475
K03394	34	64
K03520	102	91
K04719	51	83
K05606	279	296
K05936	44	72
K06871	259	232
K07055	7	7
K07124	167	208
K08178	22	41
K08355	15	17
K08356	15	17
K08368	44	34
K09386	32	26
K09963	2	2
K12140	61	52
K15634	410	381
K16264	788	751
K16845	94	82
K16846	94	82
K00446	19	16
K00483	71	81
K00526	951	928
K01061	343	341
K01114	166	152
K01669	998	1029
K01912	518	540
K02188	16	22
K02224	88	86
K02230	45	68
K02232	109	130
K02291	115	122
K02614	134	146
K03169	263	280
K03188	114	138
K03417	333	319
K03809	789	800
K03855	67	59
K05592	790	790
K05934	18	46
K06042	44	70
K06044	80	73
K07241	8	12
K10027	287	315
K12141	61	52
K14048	15	23
K15581	406	418
K15746	203	231
K17285	48	36
K00029	489	495
K00102	61	58
K00113	52	43
K00161	405	423
K00162	645	656
K00366	23	24
K00381	517	522
K00963	556	545
K01011	429	465
K01428	187	199
K01455	51	72
K01638	428	417
K02828	181	191
K03189	386	399
K03303	202	230
K03711	1212	1188
K07304	1173	1229
K07329	7	7
K08678	3	12
K10218	146	135
K15977	653	683
K01067	6	0
K00128	847	896
K00130	629	647
K00156	165	169
K00276	94	76
K00854	317	318
K01259	531	606
K01560	668	704
K01607	59	56
K01637	408	398
K02440	150	165
K02616	177	157
K03644	689	706
K03762	422	423
K05708	43	33
K06016	489	472
K06148	52	43
K06901	629	695
K07048	155	156
K08676	6	4
K10974	95	104
K13281	20	22
K14259	11	1
K16239	49	50
K18382	1	8
K19784	70	82
K00451	441	459
K00836	166	186
K01153	985	1119
K01195	190	188
K01206	216	232
K03187	350	346
K03190	369	375
K03427	842	965
K05989	15	30
K06610	17	33
K08177	271	295
K09384	190	160
K15760	17	18
K15762	15	17
K15764	17	18
K05710	90	76
K07486	34	36
K01711	66	41
K06919	78	90
K00370	300	304
K00371	287	281
K00373	446	443
K00374	305	290
K01907	311	265
K02575	656	652
K03784	742	741
K06139	97	88
K18828	274	249
K01706	273	242
K07161	81	74
K07395	79	73
K00612	252	249
K07495	43	33
K01561	199	192
K06926	5	5
K07480	258	198
K08194	51	49
K06218	235	205
K07489	43	33
K01178	0	1
K01247	253	237
K01431	19	24
K01725	68	55
K04085	416	387
K06976	53	55
K17723	64	56
K21006	5	1
K00010	297	298
K00134	1684	1729
K00560	624	632
K00648	1478	1492
K01055	43	46
K01155	21	23
K01338	779	795
K01630	72	65
K01639	53	43
K01959	96	83
K02053	255	265
K02054	158	177
K02055	324	339
K02201	7	7
K02626	12	7
K02793	25	26
K02794	71	69
K02796	67	65
K02821	276	262
K02822	265	268
K03475	254	255
K04773	434	445
K06196	198	222
K07100	12	18
K07103	7	7
K08483	288	287
K09730	7	7
K11069	253	232
K11070	192	173
K11071	232	208
K11072	226	206
K11189	279	314
K13963	14	9
K14083	6	6
K16923	0	3
K20276	48	98
K20881	156	163
K01487	210	253
K02010	509	512
K02011	475	473
K02012	564	572
K03431	477	488
K03892	1319	1324
K04084	513	566
K07444	242	288
K08999	218	230
K12137	45	35
K12144	43	33
K16146	10	4
K16927	59	59
K02283	324	289
K03497	871	941
K04014	43	33
K06147	806	854
K08161	87	84
K09808	1020	1014
K19576	5	5
K20616	7	7
K00097	720	725
K00394	2	2
K00395	2	2
K00796	657	643
K00806	809	823
K00847	516	576
K00848	78	81
K00850	980	1024
K01042	180	176
