#KEGG ID	S3Fallen.S1.R1.R1	S3Fallen.S1.R1.R2
K02424	116	141
K03078	44	34
K06155	73	58
K06212	22	25
K10009	261	278
K10010	90	104
K11694	150	146
K11707	23	48
K11709	23	48
K11710	24	49
K13629	43	33
K14347	288	319
K16321	65	58
K19165	0	4
K01002	89	103
K01361	17	20
K03488	219	219
K06177	256	234
K07306	46	38
K07784	48	38
K10540	65	62
K10541	65	62
K10542	65	62
K11045	5	5
K11708	8	25
K18220	50	42
K18974	35	35
K01483	208	225
K02348	625	602
K02414	379	382
K03502	344	385
K03503	329	336
K05832	8	10
K05833	25	28
K06904	39	45
K07308	48	40
K15733	3	8
K02464	43	33
K10190	17	20
K10555	43	33
K10556	65	58
K10558	43	33
K11216	49	33
K18352	2	0
K06726	97	107
K10188	18	21
K11183	195	213
K13730	3	10
K17624	5	5
K00364	249	251
K00841	35	45
K01048	262	245
K02532	51	49
K03079	44	34
K03366	220	239
K03816	15	23
K05964	44	34
K08156	233	242
K09994	43	33
K12700	48	38
K16139	43	37
K02671	133	154
K07455	196	225
K08217	8	2
K15531	8	0
K17320	99	91
K21012	39	38
K07816	343	352
K16959	22	25
K16960	22	25
K00633	195	163
K00897	2	3
K01577	59	50
K08969	47	60
K14153	154	126
K16650	0	9
K02538	8	17
K02768	3	3
K06956	79	84
K16210	22	25
K17195	43	33
K17241	10	7
K17242	10	7
K17243	10	7
K20487	10	18
K20488	9	17
K20492	8	16
K01197	2	6
K02759	113	138
K02761	100	129
K07260	185	182
K07078	155	151
K20429	17	30
K16958	167	166
K09161	65	58
K19955	26	37
K16957	22	25
K03326	86	66
K04127	51	42
K06330	8	28
K01224	244	259
K12111	43	33
K12112	43	33
K19424	8	16
K03598	257	255
K10213	43	33
K16323	158	162
K00839	31	50
K01839	367	360
K07741	6	6
K18104	31	41
K19427	8	16
K08317	69	69
K00596	2	0
K05937	14	23
K07149	102	133
K10794	0	1
K18481	3	2
K18231	10	21
K19350	6	6
K02526	52	50
K00082	43	36
K00141	10	6
K00232	58	54
K00466	5	2
K00496	61	56
K00646	40	38
K00863	25	35
K00917	5	5
K01031	40	32
K01070	424	405
K01387	1	2
K01416	45	44
K01608	32	62
K01727	0	4
K01771	1	6
K01965	98	84
K02476	103	122
K02798	71	61
K02799	7	0
K02800	90	94
K02802	1	1
K03931	225	236
K04098	6	23
K05375	69	69
K05516	319	332
K05551	43	40
K05552	43	38
K05553	43	38
K05554	40	36
K05555	8	4
K05712	138	148
K05782	352	343
K05898	25	25
K05916	165	187
K06378	30	37
K06916	249	275
K06995	44	35
K07044	41	43
K07077	30	29
K07642	244	229
K08224	112	155
K08351	87	98
K09701	299	284
K09759	50	36
K10187	1	8
K10201	114	91
K10202	111	92
K10220	10	6
K10537	159	144
K10554	24	19
K11082	0	2
K11083	0	2
K12349	4	17
K12420	40	38
K12583	8	5
K13063	50	39
K13771	353	354
K13926	301	273
K14257	5	0
K14335	8	25
K14667	43	40
K14668	43	40
K14670	46	36
K14671	46	40
K14680	5	0
K14949	7	2
K15268	114	140
K15311	80	76
K15312	40	36
K15315	43	38
K15329	41	36
K15337	80	76
K15512	22	20
K15513	22	20
K15650	40	38
K15739	0	2
K15926	0	2
K15928	0	2
K16164	3	6
K16217	5	2
K16218	5	2
K16421	41	36
K16423	43	42
K17883	4	4
K18233	7	6
K18351	0	5
K18353	42	36
K18981	128	119
K18991	0	6
K20420	3	6
K20484	80	72
K20628	58	58
K01616	0	2
K02361	238	248
K03087	325	320
K11386	0	4
K12240	5	0
K13641	101	130
K16649	0	2
K00151	35	38
K00508	72	66
K00510	188	206
K02509	19	17
K03343	8	6
K03380	7	14
K04073	130	110
K05713	60	50
K05714	58	50
K06860	3	4
K07110	30	19
K09146	0	2
K09796	272	285
K13498	174	155
K13686	0	4
K14337	5	2
K14743	0	2
K20470	2	2
K00980	24	32
K01958	224	259
K02021	69	72
K03837	65	62
K07120	139	186
K09681	14	18
K18701	3	3
K01241	85	74
K05835	44	39
K15576	147	120
K15577	80	75
K15578	82	76
K03381	54	82
K03863	128	121
K05549	53	60
K05550	56	63
K07794	375	440
K00450	8	12
K00480	51	49
K01139	219	190
K01856	53	82
K02475	119	120
K03464	43	66
K03777	95	87
K05548	13	17
K05783	24	28
K05784	53	60
K05816	210	233
K06179	383	362
K03300	153	146
K03304	43	55
K03480	30	42
K06075	393	388
K01274	182	203
K10531	26	22
K00216	52	51
K05523	43	37
K05991	1	1
K08688	0	4
K11607	15	21
K19976	158	163
K14194	5	5
K18292	4	3
K08166	5	0
K10038	160	168
K02046	141	151
K02363	60	57
K04117	39	37
K09773	459	460
K09975	58	51
K11735	43	33
K12686	30	32
K15552	70	64
K15598	38	71
K20034	209	188
K20118	52	66
K19973	158	163
K07396	4	21
K07339	43	33
K12508	125	100
K18457	10	10
K01027	0	12
K03970	218	190
K08172	43	33
K00154	236	272
K00631	344	295
K01032	38	30
K01908	312	282
K03921	227	253
K04781	5	0
K04940	13	2
K05834	72	65
K06205	174	155
K06446	39	41
K07002	47	52
K09461	16	17
K09709	17	18
K10216	39	39
K10764	363	397
K11921	45	39
K16047	16	17
K16243	34	36
K16244	34	36
K16245	17	18
K16246	34	36
K16645	3	2
K19062	24	33
K00244	89	89
K00245	65	58
K00246	65	58
K00247	43	33
K00257	40	36
K00304	142	171
K00305	152	181
K01252	52	59
K02480	26	35
K08225	43	35
K10227	134	111
K12429	47	36
K13669	0	2
K16050	2	0
K18223	1	0
K18224	1	0
K18225	1	0
K18226	1	0
K18844	40	36
K07225	27	58
K18652	8	20
K18654	8	20
K05593	27	41
K09251	44	33
K11084	0	2
K11537	43	39
K14699	0	2
K00273	48	36
K01253	1	1
K17484	0	2
K19687	7	1
K06954	2	0
K12424	0	4
K12953	3	0
K12955	3	4
K13670	1	0
K14340	4	0
K17840	5	0
K08986	9	17
K16839	116	114
K02164	17	8
K05711	43	33
K06912	18	18
K09879	43	36
K13727	153	157
K00464	3	3
K16444	45	38
K01699	0	4
K07689	366	360
K13920	0	4
K19189	3	0
K16165	48	52
K01721	1	4
K16319	2	8
K16320	2	8
K20807	1	0
K00126	50	65
K00137	43	33
K00317	15	23
K00883	213	201
K01026	1	1
K01502	1	2
K01631	92	90
K03290	45	35
K03566	518	490
K04019	44	34
K04116	38	35
K07675	51	34
K08195	54	66
K08302	95	83
K09981	62	63
K11530	43	33
K13919	0	4
K15509	19	27
K15783	22	45
K16514	119	115
K20023	8	0
K20431	18	17
K20765	17	19
K11750	65	62
K12507	18	26
K10621	6	6
K01467	184	171
K15468	0	18
K08964	50	81
K00471	110	106
K01578	34	43
K18290	2	6
K02783	152	162
K13052	175	182
K19969	5	2
K19979	0	2
K20424	5	0
K03418	0	2
K07017	534	522
K09913	113	104
K10619	3	0
K14338	26	41
K16303	3	0
K10255	185	196
K12979	6	16
K18459	10	10
K19997	16	18
K06979	8	19
K15320	3	0
K19200	16	30
K13995	13	11
K01713	0	10
K18301	11	24
K01175	344	334
K02615	43	33
K18028	10	7
K19431	8	16
K00284	185	210
K01617	75	73
K06880	196	203
K00643	24	25
K01281	7	8
K01432	24	47
K03829	58	44
K05795	11	19
K10012	71	58
K10539	175	164
K11434	1	6
K11616	9	17
K11940	233	206
K13049	1	3
K13327	183	206
K13633	48	40
K13796	21	17
K14673	46	36
K15314	43	36
K16436	40	38
K17876	6	0
K18850	348	316
K20483	83	79
K05836	213	222
K18014	47	42
K18234	65	63
K16014	10	9
K19640	7	0
K00663	49	42
K15054	120	116
K15228	10	10
K09962	40	66
K19338	113	108
K06190	339	293
K13665	0	4
K18371	1	0
K18541	0	6
K02438	68	68
K02595	16	17
K14164	7	2
K16017	80	72
K16018	40	36
K16020	40	36
K18232	7	6
K00131	203	236
K02596	16	17
K02597	17	17
K06400	9	17
K08310	67	64
K11941	65	62
K15761	17	18
K16016	40	36
K16021	40	36
K16022	40	36
K17835	0	2
K18287	0	4
K18845	2	0
K01920	546	550
K05774	99	94
K07136	234	208
K15599	116	108
K20036	27	20
K16015	40	36
K01751	48	34
K04100	144	126
K05818	20	19
K05996	48	38
K14051	68	58
K15066	3	0
K20454	3	0
K20927	3	0
K00023	169	195
K03830	109	128
K01844	49	46
K09874	0	4
K17326	0	4
K17327	0	4
K18910	3	8
K01083	27	25
K02204	163	177
K03291	225	189
K07586	88	81
K08984	53	43
K10200	95	72
K13315	40	36
K16843	94	82
K17910	1	1
K18012	47	44
K18893	200	208
K19702	45	38
K19978	12	0
K20742	9	17
K02099	87	88
K11476	158	162
K03668	65	62
K21021	65	58
K07132	20	22
K19068	24	23
K00009	96	106
K01133	16	24
K08319	65	62
K03756	43	33
K13678	1	1
K19425	8	16
K03802	286	294
K15652	1	2
K13574	44	33
K17898	1	1
K18011	48	44
K03428	2	2
K06019	26	37
K17324	132	155
K17325	121	131
K00544	111	102
K00712	0	3
K11074	112	102
K14052	8	19
K18456	55	67
K02043	75	67
K14658	1	0
K13620	43	33
K13683	43	33
K13684	43	33
K06183	243	267
K08151	16	7
K10708	43	33
K10710	43	33
K10711	43	33
K17213	45	51
K17214	1	1
K17215	23	26
K19337	328	330
K00899	50	66
K20423	3	3
K13069	281	225
K18676	25	27
K00696	8	1
K05564	301	279
K16695	43	33
K02647	78	80
K01167	7	2
K01671	43	33
K04102	4	4
K08324	65	58
K09788	196	200
K10238	94	103
K21023	73	81
K07724	87	87
K15784	110	127
K01160	53	34
K19804	383	357
K03819	43	33
K04064	65	62
K01826	38	52
K00118	182	203
K07270	26	22
K10221	26	20
K19168	43	33
K04099	116	111
K19333	81	82
K01447	209	244
K02750	6	6
K03481	159	163
K03923	183	180
K09984	3	2
K17202	94	82
K09018	86	81
K20541	87	83
K00992	318	304
K03567	123	107
K04780	15	16
K12567	2	0
K18148	48	36
K18547	2	2
K20500	2	0
K00041	191	180
K00813	65	62
K01014	5	0
K09989	219	220
K16438	40	36
K00569	335	369
K07666	205	242
K09895	357	344
K09919	337	342
K16026	0	2
K16027	0	2
K20844	15	0
K20976	20	28
K04618	5	0
K12242	5	0
K19720	5	0
K20426	5	0
K20427	5	0
K20428	5	0
K20430	5	0
K02839	44	37
K13307	40	36
K13330	40	36
K13774	54	44
K14250	40	36
K15941	40	36
K15943	40	36
K15944	40	36
K15945	40	36
K16437	43	38
K20862	388	362
K06219	313	291
K12256	60	82
K15358	16	17
K13329	3	0
K15058	3	0
K16651	4	1
K00094	44	34
K02779	65	62
K04024	43	33
K04027	48	38
K10811	1	0
K00209	293	288
K00228	581	585
K03580	290	292
K06968	335	316
K19294	0	2
K05973	37	30
K04026	45	35
K12529	43	33
K02617	43	58
K07168	22	25
K02781	77	82
K02352	145	141
K16705	8	16
K00280	1	1
K08485	328	316
K13922	1	2
K01227	10	18
K03429	17	25
K00832	187	180
K04031	45	35
K04029	45	35
K03395	0	6
K03740	10	18
K14188	159	163
K15657	8	16
K03577	357	320
K07584	175	182
K13028	18	19
K16024	0	2
K00455	10	18
K16066	66	68
K19058	5	1
K00862	26	34
K03623	95	103
K13955	25	35
K15357	10	7
K05921	38	42
K08162	43	33
K08365	228	211
K19701	8	16
K19776	65	58
K07664	180	200
K17735	143	159
K18335	148	148
K19587	22	29
K00086	1	1
K00835	30	46
K18567	17	19
K13891	88	90
K03673	372	350
K10219	26	20
K00822	139	148
K01075	126	112
K10622	3	3
K13612	1	0
K14446	15	17
K04017	43	33
K10857	65	62
K13892	87	87
K02791	72	65
K15833	43	33
K08325	52	37
K02362	137	115
K03221	0	4
K02521	178	192
K13581	3	3
K14682	206	213
K16871	0	1
K19335	43	33
K18115	8	16
K17838	170	149
K02745	43	33
K02819	176	183
K03492	8	16
K03604	65	62
K06416	27	38
K06962	162	161
K06972	17	19
K06973	346	384
K07015	32	43
K07757	43	37
K08313	43	33
K08600	1	1
K08722	82	81
K10914	50	58
K12297	340	325
K03367	159	163
K03739	159	163
K05822	158	163
K07704	16	25
K09696	161	139
K09697	161	145
K10040	4	4
K10041	2	2
K15984	140	140
K00073	205	207
K00132	2	2
K10709	43	33
K18349	1	1
K18350	1	1
K20038	1	1
K00824	60	75
K02567	62	49
K02568	54	49
K02570	62	43
K02573	43	33
K03533	43	33
K05796	43	33
K07312	43	33
K15832	43	33
K01813	65	58
K02784	65	62
K09768	390	373
K11922	83	79
K13889	65	59
K13890	88	88
K15524	43	33
K15922	43	33
K18471	43	33
K07309	43	33
K07310	43	33
K12136	43	33
K04023	188	175
K11144	31	42
K07683	22	24
K07696	168	166
K15834	43	33
K16961	127	145
K16962	16	24
K10039	2	2
K07311	43	33
K07812	43	33
K08357	0	21
K04083	545	530
K08990	253	252
K13643	286	276
K03887	26	37
K07037	193	231
K11209	537	545
K21010	5	1
K03676	110	105
K03888	26	37
K09007	302	299
K02452	208	179
K02460	210	179
K02655	148	150
K02674	28	51
K02806	302	314
K03415	254	237
K03603	217	188
K03981	363	356
K04061	311	297
K04337	195	180
K06214	289	266
K07323	378	374
K07708	269	258
K09794	96	89
K09798	239	211
K09986	300	293
K12282	169	145
K12283	169	145
K13590	47	44
K13598	18	20
K18672	176	183
K00411	223	222
K00413	209	205
K00996	22	25
K02169	253	246
K02170	246	242
K02584	19	31
K02593	16	17
K02672	132	122
K03573	217	184
K03608	243	250
K03610	231	234
K03618	59	50
K03619	58	50
K03749	373	356
K04568	222	240
K04764	367	348
K08084	275	266
K09698	32	43
K09776	25	35
K15864	0	2
K17222	19	19
K17223	19	19
K17224	18	19
K17226	43	62
K17227	39	35
K19342	190	209
K19345	0	1
K07340	96	92
K08358	0	21
K08359	0	21
K08973	494	499
K10938	18	27
K18941	150	146
K03414	359	342
K02840	43	33
K21007	17	19
K21009	17	19
K01414	453	467
K02336	65	62
K02450	200	161
K02462	294	248
K02572	44	33
K03796	215	181
K07283	167	166
K07346	88	108
K07712	388	366
K07714	46	65
K08306	195	159
K08966	8	16
K09943	8	0
K16079	93	91
K21008	17	19
K02656	224	219
K03208	45	35
K07645	340	344
K05785	367	356
K16300	32	48
K07337	74	65
K07685	43	37
K09859	9	9
K16081	17	18
K19290	17	18
K19291	17	18
K02103	161	174
K08384	28	38
K09749	152	128
K00243	368	421
K02172	15	23
K02855	65	58
K03806	204	213
K05541	91	113
K09777	27	38
K09823	375	364
K12278	152	127
K13007	0	1
K19295	47	52
K19411	32	43
K01337	0	1
K03473	330	321
K06023	214	205
K06192	331	323
K06373	27	37
K06374	27	37
K07221	59	47
K08983	13	3
K08988	128	120
K09158	390	379
K09857	237	241
K09933	200	187
K12524	269	284
K12526	8	6
K16091	409	383
K17321	26	49
K17322	120	137
K17323	27	49
K00647	844	806
K01034	69	89
K01035	61	52
K09680	150	146
K09797	29	29
K13043	194	209
K18013	1	0
K01277	182	213
K08138	49	39
K01573	132	149
K02481	1	1
K03606	62	75
K03748	143	146
K03773	183	203
K16212	6	0
K16345	87	87
K18138	663	630
K18785	2	6
K05776	73	68
K06970	225	271
K07387	129	140
K08169	84	105
K13694	81	86
K16213	8	6
K16698	9	17
K06194	268	254
K12995	10	7
K20344	7	11
K20345	2	6
K18824	3	3
K02852	43	37
K06079	45	33
K11934	65	62
K13002	2	6
K19789	159	166
K01058	502	503
K06879	381	363
K07109	87	83
K07275	403	401
K18331	1	1
K06413	27	37
K06156	84	87
K07145	154	151
K10679	43	33
K02024	176	158
K06985	182	179
K11066	137	123
K12963	65	62
K12984	22	29
K13695	104	111
K02022	158	132
K06909	21	37
K07783	43	37
K19005	181	191
K19353	43	33
K03071	401	384
K01085	65	62
K07014	314	273
K09805	0	21
K11249	43	33
K00879	43	33
K04335	195	180
K04338	195	184
K07264	249	271
K07589	153	140
K12263	26	37
K16044	30	41
K19285	30	40
K03760	221	215
K05811	22	35
K02847	87	116
K04712	0	12
K06169	496	497
K06181	431	444
K06350	30	36
K06351	17	26
K06899	327	316
K09929	165	130
K16563	2	2
K19715	0	4
K02234	32	41
K06159	159	140
K11811	138	155
K13522	114	133
K14160	59	69
K15862	195	219
K16171	201	218
K17225	22	17
K18954	95	82
K19000	98	104
K19048	48	50
K07659	114	114
K12500	81	107
K20971	23	25
K11734	65	62
K17733	35	40
K19033	12	6
K19222	71	58
K18197	8	16
K07165	267	220
K09941	297	284
K18029	27	24
K00685	349	327
K06211	65	62
K07231	55	89
K09836	1	1
K00906	245	225
K07394	472	493
K12972	420	459
K02448	7	1
K04087	400	379
K04088	397	380
K12989	23	26
K03275	22	25
K12582	65	62
K16694	8	16
K16703	65	70
K16704	43	37
K12944	43	33
K00693	10	0
K01138	633	676
K06198	5	5
K07338	25	57
K03651	195	211
K18903	2	3
K00211	6	0
K09923	65	62
K03287	4	0
K07777	14	18
K09892	209	218
K09897	221	188
K15915	4	0
K12255	132	152
K05591	365	351
K11004	2	0
K18940	150	146
K18997	176	159
K19430	25	35
K04336	43	33
K15731	1	6
K05563	301	279
K10108	65	79
K06080	65	62
K08279	43	33
K20974	0	1
K05994	2	16
K09977	203	261
K12585	0	4
K11746	43	33
K20830	182	203
K19419	8	16
K11747	112	121
K02100	43	33
K19429	25	35
K07215	17	18
K03774	555	560
K05526	526	537
K07785	182	203
K03314	45	36
K19224	25	35
K03834	43	33
K09882	33	36
K13012	0	1
K11210	31	41
K05603	30	35
K05281	27	26
K07265	3	25
K08320	43	33
K11391	65	62
K13623	2	2
K17989	23	31
K01801	64	93
K07644	168	163
K07782	75	69
K13277	8	17
K09926	186	178
K03759	51	33
K09802	65	62
K18300	2	8
K06298	26	36
K07571	177	184
K08992	381	362
K11690	99	140
K14647	26	36
K18446	81	86
K03227	1	12
K03229	20	44
K04058	0	12
K07099	1	6
K07710	44	35
K09996	65	62
K03219	1	12
K03228	19	38
K19405	32	43
K03720	43	58
K05540	270	234
K06189	362	338
K02297	198	200
K02300	203	217
K06077	183	189
K12056	6	10
K12057	6	10
K12061	6	10
K12062	6	6
K12063	6	10
K12067	6	10
K12072	6	10
K12058	6	10
K12059	6	10
K12065	6	10
K12068	6	10
K00673	488	506
K01484	345	341
K06447	344	335
K07278	318	294
K12060	6	10
K12152	65	62
K13490	1	0
K04045	45	40
K19803	159	144
K04037	2	2
K04039	2	2
K07102	320	310
K08226	4	4
K09844	1	6
K09978	215	186
K10960	2	2
K11333	2	2
K11334	2	2
K11335	2	2
K11336	2	2
K11337	2	2
K12536	3	4
K12537	2	4
K12538	2	0
K14605	0	6
K03746	306	272
K11384	1	0
K12542	156	199
K12543	42	92
K12541	173	217
K07266	2	29
K09688	28	59
K09689	43	76
K06149	197	211
K02660	37	25
K06908	138	132
K09775	10	19
K16074	336	293
K07344	122	134
K20527	115	118
K20528	120	117
K20529	129	128
K20530	88	89
K20531	115	118
K20533	100	101
K20266	115	118
K20532	113	116
K03793	28	35
K07718	10	20
K07720	17	26
K09988	2	2
K13479	45	35
K15584	51	49
K15585	56	54
K04030	46	37
K07673	204	183
K17882	1	1
K10236	94	124
K10237	94	103
K11264	43	33
K12994	2	0
K14998	28	30
K04752	417	444
K08926	2	2
K08927	2	2
K08928	2	2
K08929	2	2
K09970	179	186
K10856	15	17
K13638	65	62
K03712	43	33
K06596	39	30
K11930	43	33
K15765	20	21
K02076	171	178
K02461	252	211
K02463	199	178
K03451	383	422
K03516	84	89
K03548	349	334
K03554	369	366
K03732	260	259
K03747	205	164
K05559	280	257
K05560	301	279
K05561	190	179
K05562	315	297
K07121	166	175
K07227	1	0
K07661	199	214
K07810	45	34
K08305	458	433
K08484	102	131
K10943	171	145
K11211	44	73
K11688	34	43
K11931	43	33
K12276	169	145
K12279	169	146
K12280	152	127
K12982	41	71
K13893	207	216
K13894	145	168
K13895	206	208
K18923	171	145
K19127	0	21
K19128	0	21
K19129	0	21
K19130	2	21
K03185	343	324
K11145	31	41
K14540	315	325
K05539	101	108
K02659	56	49
K11532	16	17
K15918	17	18
K07357	43	33
K03192	156	154
K04033	55	61
K06946	43	33
K08304	178	164
K19156	93	83
K06078	73	62
K19155	93	86
K06445	361	350
K07723	31	42
K18640	37	41
K19449	17	19
K07358	43	33
K10253	17	24
K02490	27	38
K19246	0	6
K14059	96	92
K07232	87	85
K08723	65	68
K09983	14	44
K10277	0	6
K20090	1	0
K18843	43	33
K01406	2	6
K18916	30	26
K07518	25	19
K14596	15	17
K19837	25	31
K08086	162	136
K08682	65	63
K17893	2	2
K07638	230	196
K10111	327	343
K16692	213	207
K05527	394	382
K01894	299	294
K02487	36	45
K06906	138	132
K10107	25	50
K20326	0	1
K02250	30	40
K11739	59	57
K10004	51	39
K18841	65	60
K18842	65	61
K09965	16	30
K16188	10	19
K02241	9	17
K02742	175	185
K03632	65	62
K09159	342	314
K10924	169	145
K10927	169	144
K11689	1	0
K12285	169	145
K12287	169	145
K07715	182	182
K12064	0	4
K13896	205	213
K10036	176	209
K10037	193	230
K12286	169	145
K00885	43	33
K02167	192	207
K02457	225	195
K06967	23	26
K11742	68	65
K11743	68	65
K13853	171	178
K18144	0	1
K18967	25	35
K21019	49	45
K11938	65	58
K19293	17	18
K03683	338	321
K03788	53	43
K09908	316	296
K07649	310	284
K16043	9	17
K16844	94	82
K04766	176	183
K10557	43	33
K02242	31	42
K02444	177	218
K10109	82	97
K10110	82	97
K09860	169	144
K15125	192	189
K01150	94	92
K01525	384	377
K13497	65	58
K00260	320	322
K00354	38	36
K02086	32	43
K02205	8	16
K02236	31	42
K02244	14	23
K02245	30	41
K02859	25	35
K03048	32	43
K03095	176	183
K03346	31	42
K03693	18	21
K03706	32	43
K03708	177	184
K03713	175	181
K05823	26	37
K06286	26	37
K06347	31	42
K06349	26	36
K06375	26	37
K06948	176	183
K07570	25	36
K07590	176	183
K07650	9	18
K07651	31	42
K07692	26	38
K07770	26	37
K07775	172	179
K08724	26	37
K08989	104	147
K09682	31	43
K09770	27	38
K09976	159	164
K10810	30	41
K11535	223	224
K11617	42	56
K11619	25	36
K11622	9	19
K11635	16	32
K11693	5	5
K13300	26	37
K13531	9	17
K15518	176	183
K15519	176	183
K16169	13	21
K16509	193	202
K16511	203	220
K16789	25	36
K16869	31	41
K17216	26	36
K18149	25	35
K18692	31	42
K18770	1	2
K18924	279	281
K18925	271	265
K19975	153	158
K02240	32	43
K01220	5	5
K01819	10	10
K02530	6	6
K02786	5	5
K02788	5	5
K03483	18	20
K03700	176	183
K04844	43	33
K05985	32	43
K08713	17	19
K10210	145	141
K11814	8	16
K11815	8	16
K13530	8	16
K14665	27	34
K17472	176	183
K01261	5	5
K02243	26	37
K02246	23	26
K05362	5	5
K06285	26	37
K11695	5	5
K05311	176	183
K06209	15	23
K10681	151	147
K10682	5	5
K16868	65	62
K01994	26	36
K02239	26	36
K02829	181	191
K06012	27	37
K06283	27	37
K06294	26	36
K06295	37	41
K06296	28	38
K06297	29	39
K06306	44	56
K06310	8	16
K06328	26	36
K06333	25	35
K06334	25	35
K06382	26	36
K06383	26	36
K06386	26	36
K06387	27	37
K06391	27	37
K06392	26	36
K06394	27	37
K06395	27	37
K06398	27	37
K06399	18	20
K06405	27	37
K06407	20	22
K06408	34	52
K06411	27	37
K06419	17	33
K06423	27	37
K06434	27	37
K06436	27	37
K07476	175	181
K08174	9	17
K08221	33	51
K12555	10	19
K13688	12	33
K02497	31	42
K06313	27	37
K06332	8	16
K06348	8	16
K06379	27	37
K06385	32	46
K06390	27	37
K06393	26	36
K06396	27	37
K06401	25	35
K06402	27	37
K06403	25	35
K06404	25	35
K06406	28	38
K06410	27	37
K06438	27	37
K20486	8	16
K01308	26	37
K02248	0	1
K02423	224	252
K03697	9	18
K05518	26	37
K06305	25	35
K06314	8	16
K06318	26	36
K06327	8	16
K06370	25	35
K06397	27	37
K06417	26	36
K06425	8	16
K06426	26	36
K11184	26	37
K11629	25	35
K11632	31	41
K11636	16	32
K13714	5	5
K15600	116	108
K16918	8	16
K16920	8	16
K06414	9	17
K06432	8	16
K02247	8	16
K02251	10	18
K05739	30	44
K06299	25	35
K06300	25	35
K06301	25	35
K06302	8	16
K06304	25	35
K06308	20	22
K06428	9	17
K06431	8	16
K06433	8	16
K07680	19	21
K07697	1	2
K13532	8	16
K13533	8	16
K13767	26	37
K02249	9	17
K02525	47	91
K03794	25	35
K06303	25	35
K06345	8	16
K06371	8	16
K06380	26	36
K06422	26	36
K06429	8	16
K07694	150	146
K07717	1	2
K07719	9	17
K09683	6	10
K11686	9	17
K19563	8	16
K01567	26	36
K03206	8	16
K06341	25	35
K06342	42	54
K06440	11	19
K07691	34	52
K11631	176	182
K11691	17	19
K11692	18	20
K15976	8	16
K20480	39	47
K00903	8	16
K02254	8	16
K03093	26	36
K06315	25	35
K06329	8	16
K06335	8	16
K06336	26	36
K06344	8	16
K06359	8	16
K06372	8	16
K06376	8	17
K06388	9	17
K06389	8	16
K06418	1	1
K06427	8	16
K06437	8	16
K06439	10	18
K06607	9	17
K06608	9	17
K07698	8	16
K11615	9	17
K11620	8	16
K11626	8	16
K15328	1	0
K16200	9	17
K16201	9	17
K19242	1	1
K19423	8	16
K19428	8	16
K01232	32	43
K01732	8	20
K03339	146	143
K05338	158	162
K05339	158	162
K05519	25	37
K06288	9	17
K06289	8	16
K06290	9	17
K06293	1	1
K06340	8	16
K06343	8	16
K06360	1	1
K06362	8	16
K06421	8	16
K06430	8	16
K06606	30	41
K06714	10	19
K08164	9	17
K08322	184	181
K11614	154	158
K11621	8	16
K11624	8	16
K11625	8	16
K11630	25	35
K11638	9	38
K11639	8	16
K13256	65	68
K13275	26	36
K13276	8	16
K15327	1	0
K15632	1	1
K15640	9	18
K16199	9	17
K16202	9	17
K16236	8	16
K16593	8	16
K16697	8	16
K16699	8	16
K16919	8	16
K16921	8	16
K16963	127	145
K17758	8	16
K19220	8	16
K19417	8	16
K19420	8	16
K19421	8	16
K19422	25	35
K19426	8	16
K19433	8	16
K20895	5	5
K11440	9	17
K02253	1	1
K02491	25	35
K06323	8	16
K06369	8	16
K11633	8	16
K06367	16	32
K11623	8	16
K02171	15	23
K06311	9	17
K06312	8	16
K07706	5	5
K07707	150	146
K08777	17	19
K02771	8	16
K06358	8	16
K07467	5	5
K08693	8	17
K19551	8	16
K00557	327	316
K18786	8	0
K18653	8	20
K06365	8	16
K09893	217	188
K07592	43	33
K15737	60	73
K00087	49	39
K09471	235	249
K05910	1	1
K20022	1	1
K02846	65	62
K13004	0	1
K05802	221	225
K10984	43	33
K10985	43	33
K07674	22	29
K07813	6	6
K09960	2	2
K11104	338	320
K11202	129	99
K11203	129	99
K06356	8	16
K11194	8	16
K11196	8	16
K02466	43	37
K10211	145	141
K11442	150	146
K06363	8	16
K10120	8	16
K10121	8	16
K10122	8	16
K11195	8	16
K16119	8	16
K16120	8	16
K16121	8	16
K17474	13	21
K17485	13	21
K18198	8	16
K11937	43	33
K15024	1	1
K02569	62	43
K18591	5	5
K10851	167	165
K10678	176	162
K18218	0	1
K09806	357	338
K20447	1	1
K02688	43	33
K11200	43	33
K03852	16	24
K04032	43	33
K09612	65	58
K08227	43	37
K10975	188	174
K14348	65	58
K11003	2	0
K05709	43	33
K03528	340	320
K11534	175	189
K07701	65	62
K20609	43	33
K07681	150	146
K01401	5	5
K04478	5	5
K09813	150	146
K10850	5	5
K20338	5	5
K08255	5	5
K09814	150	146
K12553	150	146
K06216	5	5
K12269	5	5
K18934	5	5
K19078	5	5
K07800	5	5
K10208	145	141
K11038	10	10
K12551	150	146
K18766	5	5
K18936	145	141
K20337	150	146
K10209	145	141
K11040	5	5
K12268	5	5
K12270	5	5
K13733	5	5
K14204	5	5
K19883	5	5
K14197	5	5
K12292	5	5
K03081	48	38
K03493	5	5
K20374	5	5
K11923	65	62
K03396	17	30
K20861	43	33
K03435	98	152
K11201	86	66
K10986	43	33
K01096	65	58
K19814	1	1
K06157	65	58
K03721	233	233
K07469	1	1
K02173	43	33
K02753	65	58
K05812	167	168
K08646	3	18
