#MODULE ID	S3Fallen.S1.R1.R1	S3Fallen.S1.R1.R2
M00205 	1.000000	1.000000
M00200 	0.600000	0.600000
M00201 	1.000000	1.000000
M00204 	0.750000	0.750000
M00206 	0.750000	0.750000
M00212 	1.000000	1.000000
M00213 	1.000000	1.000000
M00214 	1.000000	1.000000
M00215 	1.000000	1.000000
M00216 	1.000000	1.000000
M00217 	1.000000	1.000000
M00218 	1.000000	1.000000
M00219 	1.000000	1.000000
M00220 	1.000000	1.000000
M00413 	0.100000	0.100000
M00468 	1.000000	1.000000
M00517 	1.000000	0.500000
M00439 	1.000000	1.000000
M00440 	1.000000	1.000000
M00435 	1.000000	1.000000
M00515 	1.000000	1.000000
M00325 	1.000000	0.333333
M00299 	1.000000	1.000000
M00300 	1.000000	1.000000
M00302 	0.000000	0.750000
M00425 	0.250000	0.250000
M00305 	0.333333	0.333333
M00306 	1.000000	1.000000
M00378 	0.666667	0.666667
M00505 	0.500000	0.000000
M00509 	0.333333	0.000000
M00317 	0.500000	1.000000
M00490 	1.000000	1.000000
M00481 	1.000000	1.000000
M00484 	1.000000	1.000000
M00469 	1.000000	1.000000
M00314 	1.000000	1.000000
M00470 	0.500000	0.500000
M00315 	1.000000	1.000000
M00487 	0.500000	0.500000
M00489 	1.000000	1.000000
M00319 	1.000000	1.000000
M00334 	0.777778	0.666667
M00322 	0.200000	0.000000
M00323 	1.000000	1.000000
M00326 	0.250000	0.250000
M00339 	1.000000	0.666667
M00571 	0.666667	0.666667
M00324 	1.000000	1.000000
M00328 	1.000000	0.666667
M00330 	1.000000	1.000000
M00400 	0.333333	0.333333
M00512 	1.000000	1.000000
M00498 	1.000000	1.000000
M00348 	1.000000	1.000000
M00349 	1.000000	1.000000
M00520 	1.000000	1.000000
M00524 	1.000000	1.000000
M00523 	1.000000	1.000000
M00423 	0.333333	0.333333
M00436 	1.000000	1.000000
M00438 	0.750000	0.750000
M00442 	1.000000	1.000000
M00566 	1.000000	1.000000
M00548 	0.833333	0.833333
