#OTU ID	S3Fallen.S1.R1.R1	S3Fallen.S1.R1.R2
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Alkanindiges;s__Alkanindiges_illinoisensis;t__Alkanindiges_illinoisensis_DSM_15370	3	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_pelagia;t__Pseudomonas_pelagia_CL-AP6	0	2
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_sp._CB1;t__	1	1
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae;g__Salinisphaera;s__Salinisphaera_shabanensis;t__Salinisphaera_shabanensis_E1L3A	100	84
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Piscirickettsiaceae;g__Methylophaga;s__Methylophaga_nitratireducenticrescens;t__	2	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dyella;s__Dyella_thiooxydans;t__	0	6
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Luteibacter;s__Luteibacter_sp._9133;t__	1	4
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Arenimonas;s__;t__	14	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas;s__Pseudoxanthomonas_suwonensis;t__	8	0
k__BacteriaPlasmid;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Kocuria;s__Kocuria_turfanensis;t__	12	12
k__BacteriaPlasmid;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_xylosus;t__	0	1
k__BacteriaPlasmid;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Confluentimicrobium;s__Confluentimicrobium_sp._EMB200-NS6;t__	4	4
k__BacteriaPlasmid;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Dinoroseobacter;s__Dinoroseobacter_shibae;t__Dinoroseobacter_shibae_DFL_12_=_DSM_16493	15	18
k__BacteriaPlasmid;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__Novosphingobium_resinovorum;t__	9	3
k__Viruses;p__dsDNA_viruses,_no_RNA_stage;c__Caudovirales;o__;f__Myoviridae;g__;s__;t__	1	1
k__Viruses;p__dsDNA_viruses,_no_RNA_stage;c__Caudovirales;o__;f__Siphoviridae;g__;s__Rhodococcus_phage_REQ2;t__	0	1
k__Viruses;p__dsDNA_viruses,_no_RNA_stage;c__Herpesvirales;o__;f__Alloherpesviridae;g__Cyprinivirus;s__Cyprinid_herpesvirus_3;t__	1	0
k__Viruses;p__dsDNA_viruses,_no_RNA_stage;c__Polydnaviridae;o__;f__;g__Bracovirus;s__Cotesia_congregata_bracovirus;t__	1	0
k__Viruses;p__dsDNA_viruses,_no_RNA_stage;c__Polydnaviridae;o__;f__;g__Ichnovirus;s__Glypta_fumiferanae_ichnovirus;t__	0	1
